bank_account,location_type,age_of_respondent,education_level,job_type
Yes,Rural,38,Primary education,Farming and Fishing
No,Urban,36,Primary education,Informally employed
No,Rural,20,Secondary education,Remittance Dependent
No,Rural,65,No formal education,Remittance Dependent
Yes,Urban,37,Primary education,Self employed
No,Rural,32,Vocational/Specialised training,Farming and Fishing
Yes,Urban,30,Secondary education,Remittance Dependent
No,Urban,30,Primary education,Farming and Fishing
No,Rural,66,Primary education,Remittance Dependent
No,Rural,35,Primary education,Self employed
No,Urban,35,Primary education,Informally employed
No,Rural,48,Primary education,Remittance Dependent
No,Urban,21,Secondary education,Informally employed
No,Rural,17,Primary education,Informally employed
Yes,Urban,22,Secondary education,Formally employed Private
No,Rural,20,Secondary education,Farming and Fishing
No,Rural,30,Tertiary education,Remittance Dependent
No,Rural,45,Primary education,Self employed
Yes,Rural,75,No formal education,Remittance Dependent
No,Rural,20,Primary education,Informally employed
No,Urban,52,No formal education,Farming and Fishing
No,Rural,52,Secondary education,Farming and Fishing
Yes,Urban,28,Vocational/Specialised training,Self employed
No,Urban,33,Secondary education,Informally employed
Yes,Rural,35,Vocational/Specialised training,Formally employed Government
Yes,Urban,70,Primary education,Other Income
No,Rural,46,Primary education,Informally employed
Yes,Urban,29,Primary education,Self employed
Yes,Urban,42,Vocational/Specialised training,Formally employed Government
No,Urban,42,Primary education,Self employed
No,Rural,40,Primary education,Farming and Fishing
No,Rural,26,Primary education,Informally employed
No,Urban,56,Vocational/Specialised training,Self employed
No,Rural,16,Primary education,Remittance Dependent
No,Rural,46,Primary education,Farming and Fishing
Yes,Urban,26,Tertiary education,Formally employed Private
Yes,Urban,36,Secondary education,Self employed
No,Rural,20,No formal education,Farming and Fishing
No,Rural,22,Primary education,Self employed
No,Rural,33,Primary education,Self employed
No,Rural,19,Primary education,Remittance Dependent
No,Urban,70,No formal education,Remittance Dependent
Yes,Urban,36,Tertiary education,Formally employed Private
Yes,Urban,42,Vocational/Specialised training,Self employed
No,Urban,90,No formal education,Government Dependent
No,Urban,56,Secondary education,Informally employed
Yes,Rural,41,Primary education,Informally employed
No,Urban,45,No formal education,Farming and Fishing
No,Urban,37,Primary education,Farming and Fishing
No,Urban,23,Primary education,Informally employed
No,Rural,22,Secondary education,Other Income
Yes,Rural,55,Secondary education,Self employed
No,Rural,30,No formal education,Farming and Fishing
No,Rural,18,No formal education,Farming and Fishing
No,Rural,20,Primary education,Informally employed
No,Rural,40,Primary education,Informally employed
Yes,Urban,24,Tertiary education,Formally employed Government
No,Rural,34,Primary education,Farming and Fishing
No,Rural,57,No formal education,Informally employed
No,Urban,26,Primary education,Informally employed
No,Rural,26,Primary education,Remittance Dependent
Yes,Urban,63,Secondary education,Self employed
No,Urban,21,Primary education,Self employed
Yes,Rural,26,Primary education,Remittance Dependent
No,Rural,30,Secondary education,Self employed
No,Urban,35,Primary education,Self employed
No,Rural,42,Primary education,Other Income
No,Rural,22,Primary education,Informally employed
No,Rural,35,Primary education,Informally employed
Yes,Urban,40,Primary education,Farming and Fishing
No,Urban,26,Primary education,Remittance Dependent
No,Urban,65,No formal education,Informally employed
No,Rural,38,Primary education,Remittance Dependent
No,Urban,60,No formal education,Farming and Fishing
No,Urban,51,Primary education,Farming and Fishing
No,Urban,21,Secondary education,Remittance Dependent
No,Urban,22,Tertiary education,Remittance Dependent
No,Rural,18,Secondary education,Remittance Dependent
No,Urban,38,Primary education,Formally employed Private
No,Rural,23,Secondary education,Self employed
Yes,Urban,23,Secondary education,Informally employed
Yes,Rural,32,Primary education,Farming and Fishing
No,Rural,31,Primary education,Self employed
No,Urban,22,Secondary education,Formally employed Private
No,Rural,20,Primary education,Informally employed
No,Urban,36,Primary education,Informally employed
No,Rural,17,Secondary education,Remittance Dependent
No,Rural,61,Secondary education,Informally employed
No,Rural,25,No formal education,Farming and Fishing
No,Rural,54,Secondary education,Farming and Fishing
No,Urban,42,Primary education,Informally employed
No,Urban,22,Primary education,Formally employed Private
No,Rural,16,Primary education,Remittance Dependent
Yes,Urban,21,Tertiary education,Remittance Dependent
Yes,Urban,40,Primary education,Informally employed
No,Rural,56,Primary education,Farming and Fishing
No,Rural,16,Secondary education,Remittance Dependent
Yes,Rural,70,No formal education,Government Dependent
No,Rural,32,Primary education,Informally employed
No,Rural,31,Primary education,Informally employed
No,Urban,27,Primary education,Informally employed
No,Rural,17,Secondary education,Other Income
Yes,Urban,26,Vocational/Specialised training,Self employed
No,Rural,38,Primary education,Informally employed
No,Rural,17,Secondary education,Farming and Fishing
No,Urban,16,Secondary education,Remittance Dependent
No,Rural,65,Primary education,Farming and Fishing
No,Rural,24,Secondary education,Remittance Dependent
No,Urban,65,No formal education,Self employed
Yes,Rural,70,Primary education,Informally employed
No,Rural,47,Secondary education,Farming and Fishing
No,Rural,32,Primary education,Farming and Fishing
No,Urban,32,Primary education,Informally employed
No,Rural,20,No formal education,Farming and Fishing
No,Rural,69,Primary education,Farming and Fishing
No,Rural,46,Primary education,Self employed
No,Urban,27,Secondary education,Informally employed
No,Urban,22,Primary education,Informally employed
No,Urban,18,Primary education,Remittance Dependent
No,Rural,21,Secondary education,Formally employed Private
No,Rural,77,No formal education,Farming and Fishing
No,Rural,22,Primary education,Farming and Fishing
No,Urban,24,Secondary education,Remittance Dependent
Yes,Urban,31,Secondary education,Formally employed Private
No,Rural,44,Secondary education,Farming and Fishing
No,Rural,17,Secondary education,Remittance Dependent
No,Rural,55,No formal education,Informally employed
Yes,Rural,25,Vocational/Specialised training,Informally employed
Yes,Urban,26,Vocational/Specialised training,Remittance Dependent
No,Urban,22,Primary education,Informally employed
No,Rural,22,No formal education,Informally employed
Yes,Urban,77,Primary education,Other Income
No,Rural,46,Primary education,Farming and Fishing
No,Rural,45,Primary education,Informally employed
No,Urban,33,Primary education,Informally employed
No,Urban,60,Secondary education,Other Income
No,Rural,52,No formal education,Farming and Fishing
No,Urban,78,No formal education,Farming and Fishing
No,Rural,62,Primary education,Informally employed
Yes,Rural,25,Secondary education,Self employed
No,Urban,19,No formal education,Informally employed
Yes,Rural,23,Tertiary education,Farming and Fishing
No,Rural,36,Primary education,Farming and Fishing
No,Rural,33,Primary education,Farming and Fishing
No,Rural,50,No formal education,Informally employed
Yes,Urban,23,Vocational/Specialised training,Formally employed Government
No,Rural,30,Primary education,Farming and Fishing
No,Urban,20,Vocational/Specialised training,Remittance Dependent
Yes,Rural,35,Primary education,Farming and Fishing
No,Rural,16,Secondary education,Self employed
Yes,Urban,38,Tertiary education,Self employed
No,Rural,23,Secondary education,Remittance Dependent
No,Urban,47,Primary education,Informally employed
Yes,Urban,27,Secondary education,Self employed
Yes,Rural,54,Primary education,Farming and Fishing
No,Rural,42,Primary education,Remittance Dependent
No,Rural,33,Primary education,Farming and Fishing
Yes,Urban,39,Secondary education,Self employed
No,Urban,57,Primary education,Other Income
No,Urban,25,Secondary education,Informally employed
No,Urban,20,Tertiary education,Informally employed
Yes,Rural,52,Tertiary education,Formally employed Government
No,Rural,26,Primary education,Farming and Fishing
Yes,Urban,38,Tertiary education,Formally employed Private
No,Urban,39,Primary education,Farming and Fishing
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,19,Primary education,Farming and Fishing
Yes,Urban,32,Secondary education,Formally employed Government
No,Rural,30,Primary education,Farming and Fishing
No,Rural,35,Secondary education,Self employed
No,Rural,65,Primary education,Remittance Dependent
No,Urban,21,Secondary education,Remittance Dependent
No,Rural,41,Primary education,Formally employed Private
No,Rural,51,Primary education,Informally employed
No,Rural,18,Vocational/Specialised training,Informally employed
Yes,Urban,30,Tertiary education,Formally employed Private
No,Rural,48,Primary education,Formally employed Private
Yes,Urban,26,Tertiary education,Farming and Fishing
No,Rural,68,Primary education,Informally employed
Yes,Rural,42,Primary education,Farming and Fishing
No,Rural,34,Secondary education,Remittance Dependent
Yes,Urban,41,Primary education,Informally employed
No,Rural,30,No formal education,Farming and Fishing
No,Rural,24,Secondary education,Farming and Fishing
No,Rural,21,Secondary education,Informally employed
No,Rural,40,No formal education,Informally employed
No,Rural,56,Primary education,Remittance Dependent
No,Urban,55,Secondary education,Self employed
No,Rural,68,Primary education,Self employed
No,Rural,36,Primary education,Informally employed
No,Rural,36,Primary education,Informally employed
Yes,Urban,35,Tertiary education,Self employed
No,Rural,48,No formal education,Farming and Fishing
Yes,Urban,42,Vocational/Specialised training,Formally employed Private
No,Rural,42,Primary education,Remittance Dependent
Yes,Rural,77,Primary education,Government Dependent
No,Urban,33,Primary education,Remittance Dependent
No,Urban,35,Primary education,Informally employed
No,Rural,55,Secondary education,Farming and Fishing
No,Rural,75,No formal education,Farming and Fishing
No,Rural,46,Primary education,Informally employed
No,Urban,50,Secondary education,Self employed
Yes,Rural,27,Secondary education,Formally employed Government
Yes,Rural,65,Secondary education,Formally employed Government
No,Rural,55,Primary education,Remittance Dependent
No,Rural,40,Primary education,Informally employed
No,Rural,33,Primary education,Remittance Dependent
Yes,Rural,66,No formal education,Informally employed
No,Urban,30,Secondary education,Remittance Dependent
Yes,Rural,39,Vocational/Specialised training,Formally employed Government
No,Rural,28,Primary education,Farming and Fishing
No,Rural,49,Primary education,Farming and Fishing
No,Rural,29,Secondary education,Self employed
No,Rural,60,Secondary education,Farming and Fishing
No,Urban,40,Secondary education,Informally employed
No,Rural,38,Primary education,Remittance Dependent
No,Rural,60,Primary education,Farming and Fishing
No,Rural,71,Primary education,Farming and Fishing
No,Rural,41,Primary education,Informally employed
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,44,Primary education,Informally employed
No,Rural,29,Primary education,Farming and Fishing
No,Rural,22,No formal education,Informally employed
No,Rural,29,Secondary education,Farming and Fishing
No,Urban,57,Primary education,Informally employed
No,Rural,70,Primary education,Government Dependent
No,Urban,40,Primary education,Informally employed
No,Rural,16,Secondary education,Remittance Dependent
No,Urban,60,Vocational/Specialised training,Farming and Fishing
No,Urban,30,Primary education,Informally employed
No,Rural,45,Vocational/Specialised training,Informally employed
No,Urban,20,Primary education,Remittance Dependent
Yes,Urban,42,Tertiary education,Self employed
No,Rural,22,Vocational/Specialised training,Remittance Dependent
No,Urban,88,Primary education,Farming and Fishing
No,Urban,36,Primary education,Informally employed
Yes,Urban,23,Tertiary education,Formally employed Private
No,Urban,24,Primary education,Self employed
No,Urban,28,Primary education,Self employed
Yes,Urban,26,No formal education,Self employed
No,Urban,26,Secondary education,Self employed
Yes,Rural,35,Secondary education,Informally employed
No,Urban,24,Secondary education,Self employed
No,Urban,60,Primary education,Self employed
No,Urban,40,Primary education,Informally employed
No,Urban,20,Secondary education,Remittance Dependent
No,Rural,20,Secondary education,Remittance Dependent
No,Urban,30,Secondary education,Farming and Fishing
No,Rural,20,No formal education,Farming and Fishing
No,Urban,30,Primary education,Informally employed
No,Rural,30,Primary education,Farming and Fishing
No,Urban,23,Secondary education,Other Income
No,Urban,35,Primary education,Informally employed
No,Urban,23,No formal education,Self employed
No,Rural,28,Primary education,Informally employed
No,Rural,52,Secondary education,Informally employed
Yes,Urban,24,Tertiary education,Informally employed
No,Rural,68,No formal education,Farming and Fishing
No,Urban,36,Secondary education,Formally employed Private
No,Rural,44,Primary education,Informally employed
No,Urban,25,Secondary education,Self employed
No,Urban,24,Primary education,Formally employed Private
No,Urban,45,Primary education,Self employed
No,Urban,20,Secondary education,Remittance Dependent
Yes,Rural,45,Primary education,Remittance Dependent
No,Urban,20,Secondary education,Remittance Dependent
No,Rural,31,Primary education,Farming and Fishing
Yes,Urban,44,Primary education,Self employed
Yes,Rural,22,Secondary education,Farming and Fishing
No,Rural,25,Tertiary education,Farming and Fishing
No,Rural,68,No formal education,Remittance Dependent
Yes,Urban,39,Secondary education,Remittance Dependent
No,Urban,30,Primary education,Informally employed
No,Rural,28,Primary education,Informally employed
No,Rural,30,Secondary education,Self employed
No,Rural,43,Secondary education,Informally employed
No,Rural,89,No formal education,Other Income
No,Rural,30,Tertiary education,Remittance Dependent
Yes,Urban,36,Tertiary education,Formally employed Government
Yes,Urban,28,Secondary education,Self employed
No,Rural,60,No formal education,Farming and Fishing
No,Rural,57,Secondary education,Other Income
No,Urban,56,Primary education,Farming and Fishing
Yes,Urban,23,Tertiary education,Remittance Dependent
No,Rural,45,Vocational/Specialised training,Farming and Fishing
No,Urban,31,Tertiary education,Self employed
Yes,Rural,52,Secondary education,Self employed
No,Rural,70,No formal education,Farming and Fishing
Yes,Rural,46,Primary education,Farming and Fishing
Yes,Urban,22,Vocational/Specialised training,Other Income
No,Rural,33,Primary education,Self employed
No,Rural,38,Primary education,Informally employed
No,Urban,23,Vocational/Specialised training,Formally employed Private
Yes,Urban,32,Vocational/Specialised training,Formally employed Government
No,Rural,32,Primary education,Informally employed
No,Rural,48,Primary education,Remittance Dependent
No,Urban,40,No formal education,Informally employed
No,Urban,73,Secondary education,Farming and Fishing
No,Urban,44,Primary education,Informally employed
No,Urban,23,Secondary education,Formally employed Private
No,Rural,50,No formal education,Farming and Fishing
No,Rural,27,Vocational/Specialised training,Self employed
Yes,Rural,70,No formal education,Farming and Fishing
No,Rural,50,Primary education,Farming and Fishing
No,Rural,60,Primary education,Farming and Fishing
No,Rural,17,Primary education,Informally employed
No,Rural,35,No formal education,Remittance Dependent
No,Rural,21,No formal education,Informally employed
No,Rural,20,Secondary education,Remittance Dependent
Yes,Rural,38,Secondary education,Farming and Fishing
Yes,Rural,62,Secondary education,Farming and Fishing
No,Rural,58,Primary education,Remittance Dependent
No,Rural,38,Primary education,Farming and Fishing
No,Urban,24,Vocational/Specialised training,Farming and Fishing
No,Urban,33,Primary education,Self employed
No,Rural,34,No formal education,Farming and Fishing
No,Rural,16,Secondary education,Remittance Dependent
Yes,Urban,18,Tertiary education,Other Income
No,Rural,52,Primary education,Self employed
Yes,Rural,56,Secondary education,Farming and Fishing
No,Rural,55,Secondary education,Farming and Fishing
No,Urban,31,Primary education,Farming and Fishing
Yes,Urban,32,Secondary education,Self employed
Yes,Rural,50,Primary education,Self employed
No,Urban,32,Vocational/Specialised training,Formally employed Private
No,Rural,70,No formal education,Self employed
No,Rural,53,Primary education,Informally employed
No,Rural,54,Primary education,Informally employed
No,Rural,59,No formal education,Remittance Dependent
Yes,Rural,39,Primary education,Formally employed Private
No,Urban,25,Vocational/Specialised training,Remittance Dependent
No,Rural,26,No formal education,Farming and Fishing
Yes,Urban,46,Other/Dont know/RTA,Formally employed Private
No,Urban,31,Primary education,Formally employed Private
No,Rural,71,Primary education,Remittance Dependent
No,Urban,88,No formal education,Remittance Dependent
Yes,Rural,80,No formal education,Farming and Fishing
No,Rural,27,Secondary education,Self employed
No,Rural,79,No formal education,Farming and Fishing
No,Rural,30,Vocational/Specialised training,Remittance Dependent
No,Urban,35,Secondary education,Informally employed
No,Rural,18,No formal education,Remittance Dependent
Yes,Urban,47,Secondary education,Formally employed Private
Yes,Urban,45,Vocational/Specialised training,Self employed
Yes,Urban,54,Primary education,Self employed
No,Rural,68,No formal education,Farming and Fishing
No,Rural,48,Secondary education,Informally employed
No,Rural,27,Secondary education,Informally employed
No,Rural,47,Secondary education,Remittance Dependent
No,Rural,64,Primary education,Remittance Dependent
No,Rural,18,Primary education,Remittance Dependent
No,Urban,26,Primary education,Informally employed
Yes,Urban,40,Tertiary education,Self employed
Yes,Rural,48,Secondary education,Formally employed Government
No,Rural,16,Primary education,Remittance Dependent
No,Rural,33,Secondary education,Remittance Dependent
Yes,Urban,30,Secondary education,Informally employed
No,Rural,36,Secondary education,Informally employed
Yes,Urban,23,Secondary education,Self employed
No,Urban,23,Secondary education,Self employed
No,Rural,23,No formal education,Farming and Fishing
No,Urban,23,Secondary education,Informally employed
No,Urban,38,Primary education,Informally employed
No,Rural,60,Primary education,Farming and Fishing
No,Urban,28,Secondary education,Informally employed
No,Urban,18,Primary education,Remittance Dependent
Yes,Urban,30,Secondary education,Informally employed
No,Rural,67,No formal education,Remittance Dependent
No,Rural,50,Secondary education,Informally employed
Yes,Rural,45,Primary education,Farming and Fishing
No,Rural,69,No formal education,Farming and Fishing
No,Rural,32,Primary education,Informally employed
No,Rural,55,No formal education,Self employed
No,Rural,30,No formal education,Farming and Fishing
No,Rural,62,Primary education,Farming and Fishing
Yes,Rural,30,Primary education,Farming and Fishing
No,Rural,28,Secondary education,Self employed
Yes,Urban,27,Vocational/Specialised training,Remittance Dependent
No,Urban,28,Secondary education,Self employed
No,Rural,83,No formal education,Farming and Fishing
No,Rural,56,Secondary education,Farming and Fishing
No,Rural,30,Primary education,Self employed
No,Rural,17,Secondary education,Remittance Dependent
No,Urban,26,Primary education,Informally employed
No,Rural,40,No formal education,Farming and Fishing
No,Urban,38,No formal education,Informally employed
No,Urban,27,Primary education,Remittance Dependent
Yes,Urban,23,Primary education,Informally employed
No,Urban,27,Secondary education,Self employed
No,Urban,19,Primary education,Remittance Dependent
No,Rural,26,Primary education,Informally employed
No,Rural,19,Secondary education,Remittance Dependent
No,Rural,60,No formal education,Farming and Fishing
Yes,Rural,26,Vocational/Specialised training,Farming and Fishing
No,Rural,18,Secondary education,Remittance Dependent
No,Urban,65,Primary education,Informally employed
No,Urban,43,Primary education,Remittance Dependent
No,Rural,89,No formal education,Remittance Dependent
No,Rural,17,Secondary education,Remittance Dependent
Yes,Urban,40,Primary education,Self employed
No,Rural,23,Secondary education,Remittance Dependent
No,Rural,32,Primary education,Informally employed
Yes,Rural,40,Secondary education,Self employed
No,Rural,52,Secondary education,Farming and Fishing
No,Rural,72,No formal education,Self employed
No,Rural,54,Primary education,Informally employed
No,Rural,67,Primary education,Remittance Dependent
No,Rural,25,Primary education,Remittance Dependent
No,Urban,42,Primary education,Informally employed
No,Rural,56,Primary education,Informally employed
No,Rural,59,Secondary education,Farming and Fishing
Yes,Rural,45,Primary education,Farming and Fishing
Yes,Urban,79,Primary education,Remittance Dependent
No,Rural,71,No formal education,Farming and Fishing
No,Rural,16,Primary education,Remittance Dependent
Yes,Rural,71,Primary education,Farming and Fishing
No,Rural,51,Primary education,Self employed
No,Rural,40,Primary education,Farming and Fishing
No,Rural,85,No formal education,Farming and Fishing
No,Rural,28,Secondary education,Informally employed
No,Rural,18,Secondary education,Remittance Dependent
No,Urban,35,Primary education,Remittance Dependent
Yes,Urban,37,Vocational/Specialised training,Formally employed Private
No,Rural,69,Primary education,Farming and Fishing
Yes,Urban,59,Primary education,Formally employed Government
No,Rural,80,No formal education,Farming and Fishing
No,Urban,54,Tertiary education,Informally employed
No,Urban,27,Primary education,Farming and Fishing
Yes,Urban,26,Vocational/Specialised training,Formally employed Private
No,Urban,24,Primary education,Self employed
No,Urban,60,No formal education,Self employed
No,Rural,29,Primary education,Informally employed
Yes,Urban,32,Vocational/Specialised training,Self employed
Yes,Urban,34,Vocational/Specialised training,Informally employed
Yes,Urban,27,Primary education,Formally employed Private
No,Urban,32,No formal education,Informally employed
No,Urban,45,Secondary education,Informally employed
Yes,Urban,45,Secondary education,Informally employed
No,Urban,76,No formal education,Remittance Dependent
Yes,Urban,43,Secondary education,Self employed
No,Rural,16,Primary education,Informally employed
No,Urban,23,Primary education,Remittance Dependent
Yes,Rural,23,Secondary education,Farming and Fishing
No,Urban,25,Vocational/Specialised training,Formally employed Private
No,Urban,17,Secondary education,Remittance Dependent
Yes,Urban,66,Primary education,Farming and Fishing
No,Urban,21,Secondary education,Remittance Dependent
Yes,Urban,52,Vocational/Specialised training,Self employed
No,Rural,32,Primary education,Informally employed
Yes,Rural,22,Secondary education,Self employed
Yes,Urban,29,Primary education,Informally employed
No,Urban,18,Secondary education,Remittance Dependent
No,Rural,31,Primary education,Informally employed
Yes,Rural,48,Vocational/Specialised training,Formally employed Government
Yes,Urban,25,Primary education,Formally employed Private
Yes,Urban,32,Secondary education,Self employed
No,Urban,35,Secondary education,Informally employed
No,Rural,61,No formal education,Farming and Fishing
Yes,Urban,78,Primary education,Self employed
No,Rural,46,Primary education,Informally employed
Yes,Urban,59,Vocational/Specialised training,Self employed
Yes,Urban,42,Vocational/Specialised training,Formally employed Government
No,Rural,45,Secondary education,Informally employed
No,Rural,38,Secondary education,Farming and Fishing
No,Rural,21,Primary education,Informally employed
No,Rural,28,Primary education,Informally employed
No,Urban,36,Primary education,Informally employed
No,Rural,42,Primary education,Farming and Fishing
No,Urban,50,Primary education,Farming and Fishing
No,Urban,55,Primary education,Informally employed
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,32,No formal education,Farming and Fishing
No,Rural,44,No formal education,Farming and Fishing
No,Urban,25,Secondary education,Self employed
No,Rural,26,Primary education,Informally employed
No,Urban,36,Primary education,Farming and Fishing
No,Urban,16,Secondary education,Remittance Dependent
No,Rural,68,Primary education,Farming and Fishing
Yes,Urban,38,Secondary education,Formally employed Private
No,Urban,23,Secondary education,Remittance Dependent
No,Rural,70,Primary education,Farming and Fishing
No,Urban,32,Primary education,Self employed
No,Rural,78,No formal education,Remittance Dependent
No,Rural,48,Secondary education,Self employed
No,Urban,28,No formal education,Remittance Dependent
No,Rural,26,No formal education,Remittance Dependent
No,Rural,26,Primary education,Self employed
Yes,Urban,37,Primary education,Formally employed Private
No,Rural,36,Primary education,Informally employed
No,Urban,44,Secondary education,Other Income
No,Rural,39,Primary education,Farming and Fishing
Yes,Urban,40,Primary education,Self employed
Yes,Urban,31,Secondary education,Self employed
No,Rural,32,Primary education,Farming and Fishing
No,Urban,49,Primary education,Self employed
No,Rural,29,Secondary education,Self employed
No,Urban,65,Primary education,Remittance Dependent
Yes,Rural,83,Primary education,Farming and Fishing
No,Urban,24,Primary education,Self employed
No,Rural,43,Primary education,Farming and Fishing
No,Urban,25,Primary education,Remittance Dependent
No,Rural,26,Primary education,Informally employed
No,Rural,25,Secondary education,Informally employed
Yes,Urban,36,Vocational/Specialised training,Self employed
Yes,Rural,24,Vocational/Specialised training,Farming and Fishing
No,Urban,23,Primary education,Self employed
No,Rural,24,Secondary education,Self employed
No,Urban,49,Secondary education,Self employed
No,Rural,17,Primary education,Remittance Dependent
No,Rural,38,Primary education,Informally employed
Yes,Rural,39,Primary education,Informally employed
No,Rural,30,No formal education,Informally employed
No,Rural,28,Secondary education,Formally employed Private
No,Urban,35,Secondary education,Self employed
No,Rural,64,Primary education,Remittance Dependent
No,Urban,26,Secondary education,Self employed
No,Rural,80,No formal education,Farming and Fishing
No,Urban,27,Secondary education,Informally employed
No,Rural,78,Vocational/Specialised training,Other Income
No,Rural,37,Primary education,Informally employed
No,Urban,20,Primary education,Farming and Fishing
No,Rural,43,Primary education,Informally employed
Yes,Rural,45,Primary education,Farming and Fishing
Yes,Urban,44,Primary education,Informally employed
Yes,Urban,40,Secondary education,Other Income
Yes,Urban,31,Secondary education,Formally employed Private
No,Rural,42,Primary education,Informally employed
No,Rural,33,Primary education,Informally employed
No,Urban,26,Primary education,Remittance Dependent
No,Rural,42,Secondary education,Farming and Fishing
No,Rural,17,Primary education,Remittance Dependent
No,Rural,34,Vocational/Specialised training,Formally employed Government
No,Rural,25,No formal education,Remittance Dependent
No,Urban,59,Secondary education,Farming and Fishing
No,Rural,32,Secondary education,Informally employed
No,Rural,44,Primary education,Informally employed
No,Rural,20,Primary education,Farming and Fishing
No,Rural,27,Primary education,Self employed
Yes,Urban,42,Secondary education,Informally employed
No,Rural,40,No formal education,Farming and Fishing
No,Urban,50,Primary education,Informally employed
No,Urban,42,Secondary education,Self employed
No,Rural,85,No formal education,Government Dependent
No,Urban,30,Secondary education,Informally employed
No,Rural,47,Primary education,Farming and Fishing
No,Rural,30,No formal education,Informally employed
No,Urban,35,Primary education,Informally employed
No,Urban,19,Secondary education,Remittance Dependent
No,Rural,28,Secondary education,Self employed
No,Urban,23,Secondary education,Remittance Dependent
No,Rural,43,Primary education,Self employed
No,Rural,65,Primary education,Farming and Fishing
No,Rural,38,Primary education,Other Income
No,Rural,28,Primary education,Self employed
No,Urban,39,Secondary education,Self employed
No,Rural,32,Secondary education,Farming and Fishing
No,Rural,38,Primary education,Farming and Fishing
No,Rural,60,Primary education,Remittance Dependent
Yes,Urban,32,Vocational/Specialised training,Formally employed Private
Yes,Urban,42,Secondary education,Formally employed Government
Yes,Rural,42,Primary education,Farming and Fishing
No,Rural,68,No formal education,Informally employed
No,Rural,64,Secondary education,Farming and Fishing
Yes,Rural,33,Secondary education,Farming and Fishing
No,Rural,41,Primary education,Self employed
No,Rural,24,Tertiary education,Remittance Dependent
Yes,Urban,34,Secondary education,Informally employed
No,Urban,40,Vocational/Specialised training,Self employed
Yes,Urban,37,Vocational/Specialised training,Formally employed Private
No,Rural,69,Primary education,Farming and Fishing
Yes,Rural,25,Primary education,Informally employed
No,Rural,45,Vocational/Specialised training,Farming and Fishing
No,Rural,30,Primary education,Informally employed
Yes,Urban,54,Secondary education,Self employed
No,Rural,24,Primary education,Farming and Fishing
No,Rural,38,Primary education,Informally employed
No,Urban,30,Secondary education,Self employed
Yes,Urban,70,Primary education,Farming and Fishing
No,Urban,25,No formal education,Informally employed
No,Rural,30,No formal education,Informally employed
No,Urban,30,Primary education,Remittance Dependent
No,Rural,45,Primary education,Farming and Fishing
No,Rural,56,Primary education,Informally employed
No,Rural,20,Secondary education,Informally employed
Yes,Urban,43,Primary education,Self employed
No,Rural,50,No formal education,Self employed
No,Urban,66,Primary education,Farming and Fishing
Yes,Urban,48,Primary education,Farming and Fishing
No,Urban,23,Primary education,Formally employed Private
No,Urban,21,Secondary education,Self employed
No,Urban,25,Primary education,Self employed
No,Urban,25,Secondary education,Informally employed
No,Rural,56,No formal education,Informally employed
No,Urban,21,Vocational/Specialised training,Remittance Dependent
No,Rural,44,No formal education,Self employed
No,Urban,42,Secondary education,Self employed
No,Urban,21,Secondary education,Remittance Dependent
Yes,Urban,40,Primary education,Formally employed Private
No,Rural,35,Primary education,Informally employed
No,Urban,24,Vocational/Specialised training,Remittance Dependent
Yes,Urban,43,Tertiary education,Formally employed Private
No,Rural,26,Secondary education,Farming and Fishing
No,Rural,26,Secondary education,Farming and Fishing
No,Urban,25,Secondary education,Formally employed Government
No,Rural,30,Primary education,Farming and Fishing
No,Urban,26,No formal education,Self employed
Yes,Rural,34,Tertiary education,Self employed
No,Rural,75,Primary education,Formally employed Private
No,Rural,18,Secondary education,Remittance Dependent
No,Rural,70,No formal education,Remittance Dependent
Yes,Rural,36,Primary education,Other Income
No,Rural,35,No formal education,Other Income
No,Rural,88,No formal education,Government Dependent
Yes,Urban,55,Primary education,Self employed
No,Urban,38,Primary education,Informally employed
Yes,Rural,69,No formal education,Remittance Dependent
No,Urban,75,Primary education,Farming and Fishing
No,Rural,17,Secondary education,Self employed
No,Rural,30,Primary education,Farming and Fishing
Yes,Urban,23,Vocational/Specialised training,Formally employed Private
No,Urban,49,Primary education,Farming and Fishing
Yes,Rural,30,Secondary education,Farming and Fishing
No,Rural,20,No formal education,Farming and Fishing
No,Urban,19,Secondary education,Remittance Dependent
No,Urban,32,Tertiary education,Farming and Fishing
No,Rural,76,No formal education,Remittance Dependent
No,Rural,39,Primary education,Farming and Fishing
No,Rural,28,Primary education,Informally employed
No,Urban,40,Primary education,Informally employed
No,Rural,66,No formal education,Informally employed
Yes,Urban,48,Tertiary education,Formally employed Private
No,Rural,33,Secondary education,Self employed
No,Urban,50,Secondary education,Informally employed
Yes,Urban,62,Primary education,Informally employed
No,Rural,26,Primary education,Farming and Fishing
No,Rural,18,Primary education,Informally employed
Yes,Urban,33,Vocational/Specialised training,Informally employed
Yes,Urban,32,Secondary education,Informally employed
No,Rural,25,Primary education,Farming and Fishing
Yes,Urban,24,Secondary education,Formally employed Private
No,Rural,58,No formal education,Informally employed
Yes,Urban,51,Secondary education,Self employed
Yes,Rural,41,Vocational/Specialised training,Formally employed Government
Yes,Rural,60,No formal education,Farming and Fishing
No,Rural,16,Secondary education,Remittance Dependent
