monthly_income,monthly_expense_total,savings_rate,budget_goal,credit_score,debt_to_income_ratio,loan_payment,discretionary_spending,essential_spending,rent_or_mortgage,financial_advice_score,financial_stress_level,actual_savings
4442.21,4621.18,0.24,2742.87,684.0,0.42,139.32,539.98,2285.56,300.0,17.4,Low,0.0
3579.27,3737.79,0.17,2366.75,731.0,0.28,658.83,588.54,3133.75,1278.99,43.9,Medium,0.0
2474.88,3324.07,0.16,2767.98,696.0,0.44,752.33,501.4,3600.13,1247.33,21.3,Medium,0.0
2049.78,2352.66,0.35,3051.1,655.0,0.23,456.42,308.75,3726.68,1697.84,0.6,Low,0.0
3501.07,2589.24,0.31,2950.98,656.0,0.12,677.77,725.98,2385.97,1541.38,10.9,Medium,911.83
4599.99,3001.41,0.37,2848.76,665.0,0.47,470.48,453.34,2357.19,893.38,30.8,Low,1598.58
2990.93,2714.58,0.2,2042.97,684.0,0.17,561.79,684.88,2627.69,999.33,26.0,Low,276.35
4600.92,1713.88,0.24,3231.79,654.0,0.51,746.07,527.33,1536.2,1125.35,27.4,Low,2887.04
4077.43,2765.5,0.14,2304.88,717.0,0.58,442.84,381.56,2243.0,1192.83,64.3,Low,1311.93
4482.92,2834.68,0.13,2120.53,720.0,0.25,437.04,436.62,2649.77,1237.66,26.6,Low,1648.24
3970.13,2110.35,0.06,2648.37,671.0,0.54,440.4,216.74,2636.24,1398.31,56.5,Medium,1859.78
3400.29,2324.12,0.15,3066.71,713.0,0.51,503.49,476.33,2655.42,573.14,13.4,High,1076.17
3019.64,3008.0,0.19,2585.22,701.0,0.13,565.46,630.0,2303.98,1485.58,99.5,High,11.64
2511.69,3208.66,0.11,3096.48,689.0,0.49,682.08,647.83,1497.29,300.0,40.5,Medium,0.0
2747.93,3700.17,0.29,2585.77,641.0,0.54,608.09,514.98,1912.63,1021.34,2.1,Low,0.0
3239.67,3570.34,0.21,2562.68,645.0,0.42,255.5,528.08,2350.71,1057.01,58.5,Medium,0.0
4154.97,1125.06,0.34,2862.08,664.0,0.56,394.0,844.41,3038.61,1524.79,79.5,Low,3029.91
3757.38,2898.81,0.09,2216.65,701.0,0.15,383.93,767.68,1860.65,1057.37,69.4,Low,858.57
5842.25,2002.82,0.08,2721.32,709.0,0.57,341.44,363.81,1348.8,403.94,70.2,Medium,3839.43
4226.28,3012.43,0.09,2664.69,761.0,0.57,303.42,705.69,2348.36,602.84,45.6,Low,1213.85
4241.91,2455.22,0.4,2132.46,700.0,0.58,419.5,823.05,2871.61,644.23,30.4,Low,1786.69
3360.59,2987.21,0.39,1992.49,678.0,0.5,495.91,883.94,1833.94,1646.15,87.0,Low,373.38
4397.2,3052.77,0.09,2611.9,649.0,0.23,378.74,648.2,2494.39,1128.63,12.1,Low,1344.43
4198.33,2684.49,0.16,2874.44,712.0,0.21,478.66,333.39,1839.38,1293.3,78.0,Low,1513.84
3932.59,2636.22,0.23,2747.25,768.0,0.58,226.21,311.75,1811.79,1135.94,13.9,Low,1296.37
2212.12,2869.52,0.19,2128.04,648.0,0.35,522.04,620.52,2492.22,1145.58,91.9,Medium,0.0
2414.64,2246.85,0.38,3611.74,789.0,0.27,292.08,617.38,2025.78,1459.79,35.4,Low,167.79
4214.54,3943.6,0.14,2091.56,655.0,0.16,257.64,296.48,2895.81,1293.01,95.2,Medium,270.94
3715.42,2113.27,0.36,2840.06,654.0,0.42,476.82,333.01,2215.34,1254.66,87.0,Low,1602.15
5136.31,1769.91,0.16,2880.24,664.0,0.19,534.33,525.61,3150.4,1501.18,26.5,Low,3366.4
3962.23,3708.07,0.27,2791.84,748.0,0.31,413.41,569.85,1029.51,1290.04,76.3,Medium,254.16
4400.31,3471.66,0.08,2275.42,674.0,0.15,561.82,455.39,2141.02,1631.4,59.0,Low,928.65
5580.52,3513.19,0.12,2823.33,680.0,0.54,494.01,465.79,1592.32,783.34,37.6,Medium,2067.33
4917.63,3581.68,0.24,3443.1,596.0,0.22,349.85,134.81,2684.61,1184.63,55.8,Medium,1335.95
1891.43,2912.34,0.27,2565.96,699.0,0.15,489.13,432.13,2626.89,1393.5,71.5,High,0.0
5080.44,2690.79,0.4,2733.13,628.0,0.59,656.59,684.2,2351.38,647.99,9.4,High,2389.65
3509.17,3512.01,0.16,2814.4,614.0,0.36,301.77,934.37,2625.9,611.84,81.5,Medium,0.0
3011.78,3902.95,0.29,2872.22,727.0,0.16,851.09,618.45,2346.71,815.69,28.8,High,0.0
3766.66,2799.22,0.39,3287.03,615.0,0.55,0.0,475.05,2637.13,1206.94,80.0,Low,967.44
3889.28,1786.17,0.22,3815.38,698.0,0.44,211.15,597.04,2463.0,855.74,63.4,Medium,2103.11
3129.53,3770.92,0.37,3665.33,660.0,0.31,477.26,457.83,1099.9,653.13,72.5,Low,0.0
3107.57,2485.88,0.06,3860.52,703.0,0.56,549.96,422.45,2259.41,923.48,75.7,Low,621.69
4763.39,3122.35,0.19,2587.44,743.0,0.17,953.62,398.32,2308.92,532.82,18.8,Low,1641.04
2648.79,1408.03,0.09,3518.22,744.0,0.37,123.09,287.86,1935.56,1148.49,4.9,Low,1240.76
4220.47,2406.9,0.26,2941.72,657.0,0.33,448.69,719.01,1395.3,1593.72,64.7,Low,1813.57
3721.67,1965.74,0.33,3273.66,699.0,0.29,499.24,0.0,2589.51,1339.14,71.2,Low,1755.93
3551.42,3519.52,0.3,2156.62,748.0,0.29,668.47,1155.77,1723.52,1676.37,66.3,Low,31.9
3432.58,3031.3,0.24,3192.88,700.0,0.22,430.84,876.67,2509.0,880.24,79.3,Low,401.28
3899.34,4108.62,0.3,1966.21,664.0,0.37,1064.1,598.49,2541.93,330.13,67.9,Medium,0.0
3808.43,2154.2,0.1,2060.09,629.0,0.6,320.04,556.85,2918.28,762.66,68.1,High,1654.23
2461.78,1372.67,0.3,3114.1,763.0,0.44,557.48,369.41,2034.16,1558.73,4.2,Low,1089.11
4358.15,1107.05,0.08,1901.55,664.0,0.37,696.93,566.45,2941.9,1520.21,42.1,Low,3251.1
2127.13,1598.77,0.36,2838.25,606.0,0.21,503.83,734.39,1765.98,1334.1,5.2,Low,528.36
4446.81,3056.6,0.05,3764.88,660.0,0.22,321.73,393.67,2393.44,1608.21,94.5,High,1390.21
4999.71,2924.79,0.14,1617.47,735.0,0.34,664.56,346.9,2016.75,1117.56,44.9,Medium,2074.92
2753.5,2620.0,0.29,2848.18,628.0,0.36,599.85,648.35,2190.87,1151.16,73.7,Low,133.5
3422.1,3495.46,0.33,2732.69,650.0,0.44,326.95,440.98,2810.62,1327.58,27.2,Low,0.0
3275.27,2176.56,0.19,2770.52,669.0,0.19,625.24,326.46,1762.62,1008.79,55.5,Low,1098.71
4834.54,2349.78,0.17,3351.42,633.0,0.4,240.92,446.5,1440.51,804.26,24.4,Low,2484.76
1172.52,2783.72,0.33,2399.12,683.0,0.57,440.02,342.06,1342.27,2262.64,49.2,Medium,0.0
4195.37,1174.41,0.16,2979.51,639.0,0.51,642.16,468.61,1545.4,1704.67,1.5,Medium,3020.96
6429.44,4014.06,0.29,2286.01,743.0,0.46,441.69,136.72,1790.42,811.36,41.4,Low,2415.38
4433.49,3215.15,0.18,1791.71,717.0,0.58,501.06,956.16,1757.93,1076.14,31.2,Low,1218.34
4486.17,5136.07,0.34,2876.22,693.0,0.54,549.95,494.15,2084.99,632.41,2.5,Low,0.0
3570.72,3579.36,0.34,3143.54,757.0,0.13,497.05,670.55,2347.54,1185.05,21.4,Medium,0.0
3350.17,2928.87,0.11,3896.14,668.0,0.53,439.65,694.9,1749.04,646.77,63.6,Low,421.3
3089.53,3912.42,0.34,2892.15,656.0,0.3,627.05,554.73,2726.64,1562.75,13.8,Low,0.0
4401.94,3683.42,0.21,3038.19,713.0,0.27,269.95,700.87,2832.69,1234.42,86.6,Medium,718.52
4266.04,2042.77,0.3,2658.01,622.0,0.47,567.15,602.65,2721.13,2251.2,61.6,Medium,2223.27
5248.76,2266.01,0.08,2266.74,691.0,0.5,637.88,404.26,1748.15,1252.64,42.8,Medium,2982.75
5221.41,3665.15,0.38,2437.89,649.0,0.13,628.21,526.72,2279.8,803.89,78.8,High,1556.26
4048.72,3784.15,0.22,2530.6,603.0,0.59,339.36,270.61,2067.6,1306.2,51.7,Medium,264.57
4040.51,2627.91,0.23,3206.36,726.0,0.47,416.88,261.78,1761.81,2360.49,75.1,High,1412.6
3964.65,2923.91,0.29,3017.87,820.0,0.53,411.63,556.89,1576.52,1707.71,80.6,Medium,1040.74
5559.93,4185.59,0.24,2952.09,644.0,0.53,564.79,875.29,3885.25,912.66,89.7,High,1374.34
3394.48,2227.33,0.38,3560.53,661.0,0.47,446.25,333.02,2103.58,755.62,48.8,High,1167.15
2052.7,1888.35,0.25,1898.91,656.0,0.27,70.73,519.04,1908.68,965.66,15.1,Medium,164.35
3812.68,2777.01,0.37,1808.35,708.0,0.25,419.17,711.01,2347.32,1152.65,23.7,Medium,1035.67
2949.03,2416.23,0.17,1932.28,664.0,0.46,656.97,628.23,2801.16,1641.57,70.6,Medium,532.8
4814.9,4007.09,0.25,2679.18,554.0,0.41,337.23,486.58,2061.25,359.29,52.7,High,807.81
3291.11,3327.54,0.15,2957.58,674.0,0.55,368.21,442.54,2909.5,1015.46,27.5,High,0.0
5261.41,2880.23,0.06,3180.42,571.0,0.15,0.0,509.47,1672.65,1666.5,70.9,Low,2381.18
4529.38,4001.78,0.25,3568.74,657.0,0.44,491.76,439.57,1458.89,1070.32,42.7,Low,527.6
5606.25,3395.15,0.35,2878.46,666.0,0.11,571.38,884.29,1612.32,690.7,83.2,Low,2211.1
4274.42,2488.32,0.14,3345.62,545.0,0.58,373.1,888.8,2699.16,645.61,0.3,High,1786.1
2718.7,3333.79,0.21,3635.04,708.0,0.38,867.41,121.73,3399.29,1578.59,19.8,High,0.0
3264.93,3252.85,0.16,1862.55,600.0,0.45,695.42,217.68,2895.48,449.42,73.8,Medium,12.08
4257.1,3707.37,0.19,3599.7,781.0,0.15,238.54,341.25,1663.98,1253.04,6.8,Medium,549.73
3319.65,3477.78,0.24,2981.45,743.0,0.32,374.91,491.15,1967.68,1414.09,33.8,Low,0.0
4921.25,2742.33,0.31,2781.88,598.0,0.19,84.26,770.71,2036.08,1462.89,15.6,Low,2178.92
4446.87,2686.4,0.34,3118.84,786.0,0.2,490.29,435.65,2935.56,1210.08,74.1,Low,1760.47
2833.25,3489.9,0.31,3128.3,690.0,0.48,408.9,395.02,1815.19,1125.18,90.8,Low,0.0
3620.95,1901.57,0.1,1999.31,667.0,0.19,282.26,587.22,2528.4,1966.71,60.4,Low,1719.38
3535.77,3728.75,0.38,3244.4,692.0,0.2,568.17,223.32,2538.45,1466.76,34.9,Low,0.0
6160.82,2177.59,0.38,2551.22,654.0,0.41,519.04,522.14,1888.79,1668.33,47.5,High,3983.23
4298.5,3221.17,0.38,2354.88,673.0,0.23,414.92,779.58,2321.76,1846.04,58.8,High,1077.33
3702.54,1112.14,0.31,2001.96,774.0,0.23,292.23,721.98,3233.37,1775.24,44.3,Low,2590.4
3975.15,2748.29,0.11,3153.14,687.0,0.12,576.52,686.99,1533.61,1403.79,77.3,Medium,1226.86
3529.85,4021.32,0.24,2424.83,660.0,0.33,455.82,583.51,2979.87,1294.76,37.0,Low,0.0
3641.88,3267.77,0.05,2862.18,688.0,0.33,379.18,350.23,1851.59,701.31,98.9,Medium,374.11
2544.3,4214.66,0.16,3077.87,744.0,0.33,508.4,416.13,2600.53,1034.32,32.6,High,0.0
4907.74,4052.07,0.16,3173.14,601.0,0.53,527.73,306.43,3244.13,937.35,12.8,Low,855.67
2405.42,4386.39,0.32,4144.82,770.0,0.42,322.36,339.88,2002.05,1430.42,6.2,Medium,0.0
5234.17,3556.83,0.15,3054.28,665.0,0.39,419.42,686.73,1188.17,817.47,20.5,Low,1677.34
4775.91,4227.82,0.16,3301.0,601.0,0.15,456.07,120.68,2814.52,1328.93,31.4,Low,548.09
3256.31,4113.42,0.31,2881.28,665.0,0.58,137.77,341.89,2869.74,1251.95,2.9,High,0.0
3409.21,2482.21,0.13,3487.54,654.0,0.11,491.2,310.48,1795.41,1166.45,24.3,Medium,927.0
3417.45,2612.92,0.4,3335.81,643.0,0.19,612.08,1073.03,1534.53,1811.29,24.3,Medium,804.53
2004.74,3413.53,0.05,2787.08,738.0,0.38,729.66,350.94,2271.55,1133.48,47.3,High,0.0
4233.57,2846.38,0.38,3135.34,615.0,0.32,426.01,650.56,2943.68,1095.21,19.4,Medium,1387.19
4226.7,2268.11,0.22,2727.01,605.0,0.2,562.99,556.18,3032.39,1397.43,38.0,Low,1958.59
6190.28,3125.66,0.22,2272.3,677.0,0.22,459.49,490.83,2738.41,971.23,41.5,Low,3064.62
2401.46,2888.16,0.35,2382.64,745.0,0.23,684.14,513.74,1439.96,1580.41,76.1,Low,0.0
5302.86,3549.05,0.32,3035.51,650.0,0.22,774.29,91.94,2842.66,2227.2,50.3,Low,1753.81
1850.88,1967.28,0.37,2701.57,677.0,0.48,267.7,210.36,2398.98,978.4,7.6,Low,0.0
1358.55,2365.86,0.34,3088.37,746.0,0.2,637.49,469.6,1509.22,1164.47,58.6,Low,0.0
4395.93,3657.93,0.35,2922.25,722.0,0.52,812.37,485.31,2115.45,1046.93,78.2,Low,738.0
5389.36,4085.6,0.33,3435.46,596.0,0.17,517.32,532.95,2162.79,1635.44,71.4,Low,1303.76
2678.07,3800.43,0.2,2237.88,676.0,0.27,577.38,820.85,3015.31,1304.11,81.0,Medium,0.0
5284.93,4356.18,0.12,2687.59,637.0,0.27,571.41,399.8,2329.55,1068.35,8.2,High,928.75
3998.83,3546.31,0.14,1175.57,647.0,0.21,600.0,642.78,1633.35,989.1,32.2,Medium,452.52
4066.0,3376.66,0.14,2711.57,665.0,0.4,394.57,338.2,2584.37,627.25,33.1,High,689.34
2318.45,3228.69,0.21,2082.23,653.0,0.17,256.51,702.33,2617.33,1204.39,12.5,Medium,0.0
4637.24,2556.45,0.33,3080.45,620.0,0.17,560.37,522.51,1738.23,946.59,75.4,Low,2080.79
3826.08,3000.03,0.37,3665.75,724.0,0.53,435.31,482.85,1147.55,1521.49,1.2,Low,826.05
2261.97,3107.77,0.28,3460.36,638.0,0.4,495.46,878.43,2814.66,928.46,23.6,Low,0.0
3257.44,3272.5,0.23,3237.4,710.0,0.24,436.38,289.98,1790.8,1406.68,95.2,Medium,0.0
3802.14,3100.35,0.19,2908.44,708.0,0.11,738.5,348.63,1936.03,1297.28,69.2,High,701.79
3937.79,4417.86,0.35,2723.54,547.0,0.53,313.01,580.09,2247.93,1660.24,62.1,Low,0.0
3741.08,3457.88,0.31,3756.28,631.0,0.53,304.41,721.31,2571.93,769.94,14.6,Low,283.2
3897.4,3103.26,0.28,2516.28,689.0,0.54,731.69,202.25,3092.51,1382.64,18.6,Low,794.14
3464.86,3484.6,0.19,3205.74,667.0,0.23,236.69,477.9,2175.25,1112.12,73.2,High,0.0
2432.9,3479.84,0.34,2906.75,655.0,0.28,281.38,245.92,2505.32,1213.33,22.6,Low,0.0
2408.45,3925.75,0.22,2359.19,631.0,0.13,529.17,646.61,2148.69,1968.44,14.0,Low,0.0
3230.35,3510.42,0.39,2900.92,730.0,0.23,187.8,619.8,3747.03,1518.64,0.5,High,0.0
2929.09,4223.08,0.19,2222.45,695.0,0.57,408.24,499.56,1763.02,420.21,35.4,Low,0.0
5506.03,3462.52,0.19,3493.09,628.0,0.48,467.15,581.59,2217.91,1586.78,14.0,Low,2043.51
3039.13,3242.61,0.14,2722.67,694.0,0.38,684.11,978.5,1148.41,1801.38,61.0,Low,0.0
4447.19,3332.54,0.27,3204.24,700.0,0.56,454.22,444.38,2825.77,834.39,78.7,Medium,1114.65
3436.35,3471.92,0.14,2674.16,668.0,0.25,355.3,507.33,3301.4,1472.01,97.2,Low,0.0
4709.47,3255.54,0.22,2715.4,736.0,0.42,529.29,151.66,1870.61,829.45,9.8,Low,1453.93
5146.83,3076.56,0.27,2449.43,624.0,0.29,701.73,465.31,1259.02,1549.63,49.2,Low,2070.27
5989.19,2687.49,0.3,3194.39,611.0,0.12,223.1,660.01,1630.53,717.67,39.7,Medium,3301.7
3570.91,3990.86,0.28,2738.91,659.0,0.44,455.32,453.96,3183.33,841.4,4.2,Low,0.0
4090.67,2894.02,0.34,2781.05,706.0,0.49,469.22,310.06,2675.79,1659.98,17.2,High,1196.65
4902.38,2061.59,0.33,2456.22,670.0,0.18,764.97,284.91,3094.83,1657.5,27.2,Medium,2840.79
4488.76,4040.96,0.27,2510.6,734.0,0.5,649.05,492.93,2350.71,1135.49,39.4,Medium,447.8
3391.57,3461.23,0.36,1957.95,673.0,0.26,792.47,244.88,1518.37,1596.55,21.4,Low,0.0
5455.2,2106.54,0.34,2359.56,682.0,0.2,820.72,917.6,2009.81,1433.9,80.5,Medium,3348.66
3671.09,2923.05,0.08,2535.11,682.0,0.38,831.75,571.75,2932.55,1680.64,9.4,Low,748.04
4197.88,4018.05,0.19,3251.07,755.0,0.24,644.13,752.76,1726.36,866.47,26.5,Low,179.83
5114.97,2758.99,0.21,2332.99,669.0,0.42,373.82,720.78,1994.66,1284.1,66.7,High,2355.98
2693.57,3726.2,0.2,2782.88,789.0,0.35,614.37,573.96,1762.68,740.56,66.2,High,0.0
4705.75,3407.7,0.14,3156.19,515.0,0.24,598.24,213.2,1526.11,879.13,36.6,High,1298.05
2957.68,3047.28,0.23,3158.17,712.0,0.33,454.62,680.62,3148.5,1761.49,27.7,Medium,0.0
4443.78,3417.91,0.27,2814.65,625.0,0.38,934.69,729.66,2436.83,1250.63,27.1,Low,1025.87
4779.42,2656.18,0.24,2527.14,675.0,0.32,290.78,274.69,1000.0,589.4,80.7,Low,2123.24
3229.96,3132.34,0.12,2598.28,619.0,0.2,446.65,701.24,2553.28,947.93,26.1,Low,97.62
4747.29,5042.29,0.14,2273.57,611.0,0.53,153.6,351.01,1000.0,1352.91,69.9,Medium,0.0
4396.98,2730.88,0.07,2800.15,641.0,0.6,491.36,348.39,3055.35,1096.73,71.9,High,1666.1
2786.48,2067.02,0.06,2778.54,624.0,0.32,479.45,519.19,2192.86,1276.32,81.7,Medium,719.46
5357.38,3129.44,0.21,2622.25,685.0,0.35,691.03,158.51,1000.0,1285.23,14.8,High,2227.94
4172.06,2504.38,0.1,3495.42,645.0,0.47,394.86,731.41,1702.44,999.5,95.5,Medium,1667.68
2153.93,2102.76,0.23,3403.05,711.0,0.43,639.59,271.3,2687.07,1178.43,35.4,High,51.17
2911.8,3514.78,0.17,2727.75,667.0,0.37,245.39,699.62,1817.3,1324.8,88.5,Low,0.0
4372.83,4567.62,0.24,2492.97,722.0,0.32,467.93,861.98,2183.74,1585.41,99.3,Low,0.0
5147.14,4477.98,0.38,3459.09,584.0,0.58,229.5,561.94,2149.51,1778.79,59.1,High,669.16
4074.14,2901.58,0.34,3393.59,588.0,0.51,369.34,271.68,3001.95,1006.58,76.9,Low,1172.56
4822.96,3197.11,0.08,2918.12,716.0,0.43,347.64,753.5,1761.88,1638.63,34.5,Low,1625.85
3925.88,2459.81,0.36,3537.37,698.0,0.44,721.88,170.36,1062.95,1004.05,36.3,Low,1466.07
4702.36,1359.84,0.24,2764.38,672.0,0.21,582.83,534.94,2079.3,891.36,97.0,Medium,3342.52
5677.78,3404.97,0.38,2677.7,663.0,0.3,300.58,843.47,2441.82,910.48,34.8,Low,2272.81
3253.54,2543.71,0.21,3246.55,665.0,0.56,103.94,188.63,1978.84,1068.5,29.0,Low,709.83
2817.23,3131.74,0.34,2647.89,642.0,0.48,621.55,662.08,1537.95,796.0,37.0,Medium,0.0
3091.95,2254.94,0.35,3522.89,617.0,0.14,498.08,415.27,1866.79,641.13,85.6,Medium,837.01
5678.52,3312.82,0.07,2418.67,662.0,0.12,519.34,114.34,1495.18,1368.04,88.7,Low,2365.7
4838.62,3257.9,0.21,1898.3,692.0,0.6,300.2,365.11,2172.16,1234.96,52.7,Low,1580.72
4287.44,2376.6,0.17,3017.47,647.0,0.48,714.55,535.82,2761.19,521.25,45.4,Medium,1910.84
3933.04,3130.33,0.11,3209.52,651.0,0.57,481.6,801.87,1000.0,1082.0,66.0,Low,802.71
3835.88,3787.06,0.21,2630.93,744.0,0.35,887.31,509.11,3162.9,403.7,15.2,Low,48.82
4703.7,3265.06,0.28,2445.61,597.0,0.48,347.59,330.48,2204.13,1103.08,42.4,Low,1438.64
4958.81,2126.0,0.22,3190.56,700.0,0.59,654.82,528.04,2718.4,2217.06,95.2,Medium,2832.81
4071.25,3059.63,0.06,2289.2,662.0,0.1,581.74,291.0,2144.12,1464.41,63.8,Low,1011.62
4611.0,2383.53,0.25,2740.38,706.0,0.18,329.77,0.0,2056.08,733.48,20.9,Low,2227.47
4865.31,4036.2,0.23,2249.48,667.0,0.4,595.98,312.48,3217.77,1387.64,41.6,Low,829.11
2556.53,3164.98,0.39,3140.44,668.0,0.45,552.75,611.6,2076.98,719.57,92.5,Low,0.0
3898.94,1240.61,0.12,2221.74,649.0,0.49,468.67,218.27,1994.69,946.26,56.8,High,2658.33
3043.73,2610.81,0.33,1881.46,636.0,0.55,547.48,625.7,3281.68,1339.25,2.9,High,432.92
3108.58,2515.06,0.32,2660.53,626.0,0.16,456.07,120.81,1453.54,1388.29,88.9,Low,593.52
3583.03,3549.43,0.16,2783.6,670.0,0.12,495.4,495.67,2350.72,1343.24,94.0,High,33.6
4380.18,3799.46,0.27,2344.43,555.0,0.6,672.24,623.74,1203.55,1855.51,15.4,Medium,580.72
4726.75,3067.28,0.19,3528.87,639.0,0.51,483.23,434.01,3379.51,733.32,66.8,Medium,1659.47
4092.12,3388.07,0.1,2752.37,687.0,0.27,501.72,747.78,2016.51,1678.29,5.3,Medium,704.05
4439.23,3228.16,0.37,2745.61,698.0,0.57,407.05,508.62,1456.06,877.71,60.5,Low,1211.07
4274.63,2785.96,0.06,1701.97,663.0,0.34,637.03,500.99,1516.58,1208.5,53.1,Low,1488.67
5338.27,3416.73,0.09,2418.28,674.0,0.33,571.06,661.57,2744.28,728.0,3.9,Low,1921.54
5505.05,1723.48,0.32,2494.64,637.0,0.43,437.3,369.58,1805.87,897.77,16.7,Medium,3781.57
4090.24,3799.29,0.32,2928.88,768.0,0.2,474.35,403.24,1292.68,1324.53,97.4,Low,290.95
4148.09,3089.74,0.24,2770.29,632.0,0.44,594.68,240.29,1659.95,1133.75,64.5,Low,1058.35
3540.78,3251.17,0.17,2669.13,727.0,0.15,672.33,383.33,3120.46,1194.79,46.2,Low,289.61
3344.13,3264.27,0.1,2244.59,610.0,0.22,277.99,387.0,2750.07,1111.73,85.5,Medium,79.86
3879.76,1873.07,0.06,2399.13,744.0,0.15,210.98,577.82,1561.96,1532.44,9.1,Medium,2006.69
2905.1,3345.67,0.36,2199.02,668.0,0.35,450.09,337.25,2633.49,1426.97,78.5,Medium,0.0
4349.98,2583.13,0.21,2382.33,742.0,0.3,307.02,644.55,2523.04,443.65,73.2,Low,1766.85
4700.7,2729.88,0.15,1580.11,706.0,0.49,130.68,303.31,2025.05,1666.02,51.6,Low,1970.82
3687.5,4385.36,0.25,3160.27,642.0,0.34,566.28,386.97,2649.46,1568.05,62.4,Low,0.0
4287.57,3232.52,0.13,2603.38,724.0,0.41,449.86,292.89,1486.0,657.98,84.7,Low,1055.05
5164.49,2819.56,0.17,2912.26,625.0,0.31,13.68,450.66,2810.69,888.95,52.0,Medium,2344.93
3366.81,2423.03,0.18,2697.98,694.0,0.58,468.85,392.11,2152.75,1047.42,96.0,High,943.78
4549.54,1973.98,0.19,2924.06,580.0,0.13,615.51,739.52,2050.27,678.67,80.4,Medium,2575.56
5808.44,1582.42,0.1,2540.99,752.0,0.52,991.13,544.54,3008.7,908.81,19.7,Low,4226.02
5057.78,2746.16,0.29,2405.93,650.0,0.23,302.74,972.89,1328.22,464.1,61.6,Low,2311.62
2813.46,3690.77,0.08,2403.04,735.0,0.13,663.07,287.52,1366.33,763.96,54.3,Medium,0.0
7085.77,2634.49,0.2,3372.32,591.0,0.15,277.09,935.51,2036.02,1961.03,79.2,Medium,4451.28
5779.01,3841.64,0.26,3175.8,771.0,0.58,707.67,775.79,2857.63,1665.34,62.0,High,1937.37
3647.96,4097.17,0.06,2428.01,755.0,0.43,278.47,661.48,1910.69,824.43,14.8,Medium,0.0
4439.75,2663.94,0.21,2382.26,698.0,0.59,347.76,212.93,1590.17,2069.28,89.8,Medium,1775.81
4180.17,3072.94,0.29,3012.24,668.0,0.33,654.95,626.95,2732.29,1275.13,4.8,Medium,1107.23
6093.49,2460.77,0.27,2312.77,634.0,0.39,558.56,622.32,1968.09,782.82,51.4,Low,3632.72
2683.18,4510.74,0.29,3209.61,667.0,0.26,554.46,439.12,1752.61,1000.31,35.1,Medium,0.0
6721.85,3545.71,0.11,2634.83,653.0,0.14,701.41,618.06,1000.0,300.0,26.3,Low,3176.14
4316.44,3157.77,0.18,1707.87,754.0,0.22,430.81,315.19,2000.56,1053.3,2.6,Medium,1158.67
4853.09,3691.65,0.2,2875.84,723.0,0.17,638.97,726.36,2231.88,1231.71,84.9,Medium,1161.44
4190.03,2549.08,0.4,2804.52,725.0,0.13,413.88,659.97,1596.84,583.36,12.6,Medium,1640.95
5303.49,3706.63,0.13,2385.15,678.0,0.22,626.35,269.75,1942.42,1469.9,11.6,Low,1596.86
3766.15,4153.67,0.33,2724.38,608.0,0.38,250.14,518.74,1398.69,584.28,89.5,Low,0.0
2264.88,2096.54,0.19,2190.87,755.0,0.4,188.86,576.72,3053.82,1578.99,32.8,Low,168.34
4210.93,3379.3,0.2,2830.4,732.0,0.5,749.5,574.76,1266.43,1665.92,6.6,Low,831.63
3160.51,4038.02,0.35,2401.72,736.0,0.54,519.39,562.39,2829.31,1417.0,80.7,Low,0.0
4797.88,2182.62,0.18,2667.16,645.0,0.21,236.42,369.78,2961.04,1402.67,0.6,High,2615.26
3130.77,3962.61,0.08,2756.68,717.0,0.12,720.65,663.17,1322.39,394.1,53.7,Low,0.0
3965.82,4953.48,0.21,2769.08,583.0,0.39,397.29,381.06,3575.89,2116.54,31.2,Medium,0.0
4398.16,2171.24,0.09,2223.14,738.0,0.25,577.78,217.05,2566.93,1338.46,21.9,Low,2226.92
5397.7,3323.68,0.29,3070.43,767.0,0.26,383.68,90.37,3020.04,1131.24,74.9,Medium,2074.02
2819.15,2695.53,0.3,2501.11,598.0,0.19,366.2,488.25,2670.41,1246.98,14.3,Medium,123.62
5312.17,2389.62,0.28,2533.99,664.0,0.42,555.75,314.24,3056.14,1162.07,5.7,Medium,2922.55
3999.61,2306.46,0.19,1948.06,621.0,0.33,631.92,712.33,1000.0,1439.49,13.0,Low,1693.15
4091.69,1648.23,0.35,2929.75,597.0,0.5,261.83,481.45,1602.19,1222.95,44.4,Low,2443.46
2663.41,1965.23,0.31,2540.11,620.0,0.36,594.45,331.06,2906.19,1265.56,90.1,Low,698.18
3353.89,1413.99,0.08,3024.85,650.0,0.13,753.58,771.26,3507.66,1282.28,92.8,Medium,1939.9
3123.1,2050.47,0.14,2416.09,645.0,0.23,742.91,482.55,1614.11,1091.42,74.7,High,1072.63
2989.32,2904.95,0.05,3147.07,710.0,0.12,227.87,251.2,3179.94,1924.06,74.2,Medium,84.37
2165.57,3373.54,0.08,2678.1,687.0,0.56,288.96,538.03,1691.66,1514.34,62.2,Low,0.0
2995.55,2425.14,0.13,3368.69,726.0,0.21,555.74,452.34,2129.96,1484.33,46.5,Low,570.41
3897.53,3466.13,0.34,2947.79,776.0,0.44,636.59,683.09,1954.33,1887.04,30.7,High,431.4
4114.49,3330.8,0.21,3513.54,701.0,0.23,531.71,235.47,2550.75,1353.75,47.8,Low,783.69
