Customer_ID,Age,Gender,Country,Education,Occupation,Marital_Status,Monthly_Income,Other_Income,Income_Source,Monthly_Expenses,Monthly_Savings,Emergency_Fund,Savings_Rate,Loan_Amount,Monthly_Loan_Payment,Debt_to_Income_Ratio,Bank_Balance,Mobile_Money_Balance,Number_of_Transactions,Cash_In,Cash_Out,Transfers,Airtime_Purchases,Business_Type,Monthly_Revenue,Monthly_Profit,Supplier_Payments,Invoice_Value,POS_Sales,Investment_Type,Investment_Value,Monthly_Return,Financial_Literacy_Score,Spending_Discipline,Risk_Tolerance,Saving_Consistency,Financial_Goal,Financial_Health_Score,Funding_Readiness,Investment_Readiness,Loan_Default_Risk,Predicted_Savings_12_Months,Predicted_Business_Growth,Budget_Recommendation,Loan_Eligibility,Recommended_Investment,Financial_Risk_Level
2210,59,M,Rwanda,Diploma,Farmer,Single,857660,81796,Salary,472657,465585,345381,0.5,78406,2352,0.0,1912182,226578,135,572166,830208,155,11839,ICT,3778125,590405,1567994,769722,1830498,Treasury Bills,177710,7066.49,98,40,Medium,33,Retirement,50.5,Not Ready,Not Ready,Low,7137051,17.3,Healthy,Review,Savings,Medium
2211,34,M,Kenya,Diploma,Teacher,Single,619824,163851,Business,560809,106486,718543,0.14,1555499,46664,0.06,187823,464358,117,260732,596637,158,42922,Agriculture,3899575,619650,1521500,304353,2300932,Mutual Fund,2166415,12732.61,96,96,Low,70,Retirement,59.0,Not Ready,Not Ready,Low,1154379,4.6,Reduce Spending,Review,Savings,Medium
2212,60,M,Uganda,Primary,Trader,Married,1323062,12356,Business,492267,568741,405600,0.43,2143383,64301,0.05,1502253,194285,31,283503,377316,75,35955,Services,3942199,984976,716291,2084470,2760895,Savings,2693214,-23083.08,46,42,Low,72,Education,43.7,Not Ready,Not Ready,Low,6561689,6.8,Healthy,Decline,Crypto,High
2213,45,F,Tanzania,Secondary,Farmer,Married,733278,47062,Mixed,582182,131213,988152,0.17,910130,27303,0.03,48985,172616,93,512973,521825,281,31767,Retail,1605113,296305,1118054,2428909,1399439,Treasury Bills,100414,7346.63,22,32,High,65,Home,28.4,Not Ready,Not Ready,Low,1483950,5.0,Reduce Spending,Decline,Crypto,High
2214,32,M,Nigeria,Diploma,Farmer,Married,1339271,138235,Business,584706,751797,797182,0.51,1047963,31438,0.02,435937,303588,81,52480,255367,210,31576,Services,4563245,455784,1241954,2629807,3155792,Savings,277729,4102.46,39,71,High,54,Education,44.0,Not Ready,Not Ready,Low,8379852,-2.7,Healthy,Decline,Mutual Fund,High
2215,54,M,Ghana,Bachelor,Entrepreneur,Married,684979,253067,Mixed,536156,339213,598046,0.36,625135,18754,0.02,995930,86812,141,546348,632234,123,14469,Food,4583883,515220,1982368,2492669,2039879,Mutual Fund,1039904,36755.9,56,80,Medium,72,Retirement,50.1,Not Ready,Not Ready,Low,5058657,15.0,Healthy,Review,Stocks,Medium
2216,32,M,Uganda,Diploma,Farmer,Single,1220623,141211,Mixed,661753,297571,907008,0.22,548708,16461,0.01,655660,234952,12,247111,613674,236,25017,Agriculture,1721627,426362,759418,507694,1441796,Treasury Bills,1590297,31969.58,25,85,Low,87,Business Expansion,45.5,Not Ready,Not Ready,Low,4560958,-0.1,Healthy,Decline,Stocks,High
2217,57,M,Uganda,Primary,Farmer,Single,725934,139940,Business,620991,238662,985083,0.28,752895,22586,0.03,561704,5555,149,390573,486,72,38838,Manufacturing,4858205,1663356,210814,2607331,3638423,Treasury Bills,546731,25033.54,92,77,Medium,24,Home,54.1,Not Ready,Not Ready,Low,3124943,5.5,Reduce Spending,Review,Treasury Bills,Medium
2218,35,F,South Africa,Postgraduate,Entrepreneur,Single,511865,106943,Salary,327560,251106,442035,0.41,288220,8646,0.01,1138590,65752,137,104907,954550,159,3922,Food,381023,88355,356500,621770,343544,Crypto,2577964,54615.27,74,71,Medium,24,Business Expansion,49.0,Not Ready,Not Ready,Low,3653104,12.9,Healthy,Decline,Stocks,High
2219,43,M,Nigeria,Bachelor,Engineer,Single,1442170,99476,Mixed,1227914,230081,44540,0.15,1775498,53264,0.03,524367,428908,27,99161,665625,97,21606,Services,3415002,941149,1105693,2377954,1962144,Crypto,647448,44065.52,100,47,Medium,67,Retirement,52.6,Not Ready,Not Ready,Low,2530572,-2.3,Reduce Spending,Review,Crypto,Medium
2220,51,F,Nigeria,Secondary,Entrepreneur,Single,1336626,74057,Salary,1139310,100100,394451,0.07,1181548,35446,0.03,433182,125619,60,248017,926937,188,34035,Manufacturing,1406400,318432,677358,165569,1235968,Savings,2122862,119525.62,21,47,High,87,Emergency Fund,33.3,Not Ready,Not Ready,Low,1137078,2.3,Reduce Spending,Decline,Treasury Bills,High
2221,46,F,Kenya,Postgraduate,Farmer,Married,926805,160723,Salary,510778,517006,359028,0.48,821813,24654,0.02,927119,5559,39,411877,871656,151,48122,Services,802277,133532,696261,1877307,506114,Mutual Fund,159475,3960.53,77,87,Low,65,Retirement,59.0,Not Ready,Not Ready,Low,6861836,5.4,Healthy,Review,Savings,Medium
2222,21,F,South Africa,Bachelor,Farmer,Married,940492,251885,Salary,1009488,168931,372642,0.14,1632969,48989,0.04,1382242,410411,61,608362,351321,155,22989,Food,1641023,406016,1170953,2985214,997121,Savings,1319337,652.37,34,32,Low,42,Education,28.6,Not Ready,Not Ready,Low,2109963,6.1,Reduce Spending,Decline,Savings,High
2223,20,F,South Africa,Diploma,Teacher,Married,1477596,140257,Mixed,1026027,571031,701512,0.35,2401577,72047,0.04,67208,455533,67,403242,706957,16,4988,Retail,2051339,231140,584898,642498,1741291,Stocks,1977693,77942.7,36,38,Low,62,Business Expansion,34.8,Not Ready,Not Ready,Low,6621217,-4.9,Healthy,Decline,Treasury Bills,High
2224,59,M,South Africa,Postgraduate,Entrepreneur,Single,745437,72761,Business,318483,174869,463452,0.21,570199,17105,0.02,1639011,91078,146,168086,844969,229,29051,Agriculture,4910880,1487401,688723,337720,2856925,Treasury Bills,311607,190.61,85,66,High,23,Business Expansion,48.0,Not Ready,Not Ready,Low,2335308,-1.3,Healthy,Decline,Treasury Bills,High
2225,35,M,Kenya,Postgraduate,Engineer,Married,693230,138935,Business,609739,187151,830469,0.22,252482,7574,0.01,787389,413308,133,639615,184036,23,36103,ICT,2630126,748231,1446657,635017,2284479,Stocks,995693,57648.4,23,89,Medium,25,Business Expansion,37.4,Not Ready,Not Ready,Low,2620718,14.0,Reduce Spending,Decline,Stocks,High
2226,49,F,South Africa,Postgraduate,Nurse,Married,1238333,21891,Salary,875130,208467,660624,0.17,2771107,83133,0.07,1204962,494083,15,728815,812472,153,16840,ICT,1875887,499430,730998,870762,1491213,Crypto,1560384,89949.62,34,96,High,97,Home,50.2,Not Ready,Not Ready,Low,2801386,12.8,Healthy,Review,Savings,Medium
2227,39,M,Tanzania,Postgraduate,Farmer,Married,150726,201210,Mixed,167140,109044,767595,0.31,2390779,71723,0.2,655191,145000,153,279867,234595,265,13906,Services,3910161,215783,1377660,1107471,1985357,Stocks,710608,14600.72,43,37,Low,65,Home,33.2,Not Ready,Not Ready,Low,1409744,21.2,Healthy,Decline,Stocks,High
2228,28,M,Zambia,Diploma,Civil Servant,Married,149858,249698,Salary,239320,140265,148520,0.35,755911,22677,0.06,1166050,155006,85,320012,750576,134,35058,Services,3768378,446869,846060,973851,3374589,Stocks,1981329,85853.98,99,75,High,46,Home,55.4,Not Ready,Not Ready,Low,1803492,20.2,Healthy,Review,Crypto,Medium
2229,35,F,Tanzania,Bachelor,Trader,Single,1396126,167502,Business,1231572,196779,661329,0.13,2323395,69701,0.04,547420,64591,182,413485,61116,291,44182,ICT,1255011,375860,837785,701082,528894,Crypto,1200850,74858.89,32,69,High,93,Emergency Fund,43.9,Not Ready,Not Ready,Low,3050435,17.5,Reduce Spending,Decline,Crypto,High
2230,33,M,Tanzania,Secondary,Civil Servant,Single,882539,251993,Business,853625,160067,958311,0.14,1386474,41594,0.04,1904521,375800,90,711834,355369,104,16353,Agriculture,4691043,1268974,1914443,2417244,3798140,Stocks,410349,29814.47,88,39,Low,85,Retirement,50.4,Not Ready,Not Ready,Low,2251312,3.6,Reduce Spending,Review,Mutual Fund,Medium
2231,37,M,Nigeria,Secondary,Entrepreneur,Single,1282675,56515,Salary,759173,322143,451688,0.24,112547,3376,0.0,834144,183104,199,874287,145054,200,1526,Manufacturing,3889118,1042531,1727983,2622181,3488192,Treasury Bills,1859478,6585.93,47,90,Low,86,Emergency Fund,52.8,Not Ready,Not Ready,Low,4915800,18.3,Healthy,Review,Stocks,Medium
2232,56,M,Ghana,Diploma,Farmer,Married,492058,171069,Business,352953,158309,902379,0.24,284501,8535,0.01,1279819,122132,177,175312,387492,55,30523,ICT,2200985,548091,1928702,2284677,1912277,Crypto,1036073,46765.83,55,40,Low,47,Education,38.5,Not Ready,Not Ready,Low,2167959,20.1,Healthy,Decline,Mutual Fund,High
2233,36,M,Zambia,Bachelor,Farmer,Married,814243,131496,Business,679910,131749,302343,0.14,556433,16692,0.02,645646,116520,170,936245,400071,195,6199,Manufacturing,1000241,191873,1504094,1450333,514101,Treasury Bills,1733106,-6976.84,30,36,Low,33,Business Expansion,26.1,Not Ready,Not Ready,Low,1650506,2.6,Reduce Spending,Decline,Savings,High
2234,41,F,Nigeria,Diploma,Nurse,Married,1156613,130973,Business,1064982,209196,524840,0.16,624884,18746,0.01,1903453,64407,146,579061,321186,55,13624,Retail,2417570,352333,28649,655617,1094031,Mutual Fund,1566657,82600.4,59,51,High,35,Retirement,36.3,Not Ready,Not Ready,Low,2484180,13.9,Reduce Spending,Decline,Treasury Bills,High
2235,24,M,Rwanda,Secondary,Entrepreneur,Single,957362,294505,Mixed,1032649,72519,497963,0.06,1355119,40653,0.03,35172,418621,170,553844,252568,116,22468,ICT,3266980,914368,1636006,367752,2458395,Mutual Fund,491628,22798.31,36,46,Low,37,Business Expansion,30.2,Not Ready,Not Ready,Low,868049,2.7,Reduce Spending,Decline,Mutual Fund,High
2236,38,F,Tanzania,Secondary,Civil Servant,Married,442178,156055,Salary,288184,291175,13977,0.49,1833919,55017,0.09,407649,52398,194,895306,774332,52,17687,Food,655455,73463,1317555,1295823,413585,Treasury Bills,1709159,76288.92,99,25,Low,30,Home,45.3,Not Ready,Not Ready,Low,3927599,2.4,Healthy,Decline,Mutual Fund,High
2237,29,M,Ghana,Diploma,Teacher,Single,142844,153479,Mixed,192660,69888,585906,0.24,1216811,36504,0.12,1203069,77917,93,750775,780659,63,6724,Manufacturing,2673432,526473,408925,306458,1540703,Stocks,1194262,77395.1,53,69,Low,55,Education,42.8,Not Ready,Not Ready,Low,885305,-1.6,Healthy,Decline,Mutual Fund,High
2238,36,F,Kenya,Bachelor,Farmer,Married,572531,256873,Mixed,498107,207089,265244,0.25,1865805,55974,0.07,1861604,241619,93,509035,96260,45,48125,Services,1540652,363782,1557285,218409,652668,Mutual Fund,1094425,43558.51,33,51,High,27,Retirement,31.5,Not Ready,Not Ready,Low,2262804,19.2,Healthy,Decline,Crypto,High
2239,57,M,Nigeria,Diploma,Teacher,Single,552336,181292,Business,634292,95008,511553,0.13,914244,27427,0.04,1183958,318591,184,495855,629906,149,37862,Manufacturing,2169325,589634,1993444,1639855,958076,Crypto,2304351,-8895.62,33,54,Medium,100,Retirement,41.7,Not Ready,Not Ready,Low,1150367,17.2,Reduce Spending,Decline,Mutual Fund,High
2240,21,M,Kenya,Postgraduate,Entrepreneur,Married,885349,81992,Business,664131,289356,310377,0.3,1664771,49943,0.05,967885,385149,27,301209,847976,6,12493,Agriculture,3361120,822367,217661,1601599,2963127,Stocks,2255868,-16586.71,93,91,Low,99,Education,66.7,Ready,Ready,Low,4230116,12.5,Healthy,Eligible,Crypto,Medium
2241,55,M,Kenya,Primary,Farmer,Single,1177592,278739,Mixed,1037932,280716,716167,0.19,53659,1609,0.0,1846434,96162,72,613699,776548,192,18335,Agriculture,474003,114793,525911,620454,301121,Savings,1109828,12688.15,30,28,Low,32,Emergency Fund,26.6,Not Ready,Not Ready,Low,4331874,23.5,Reduce Spending,Decline,Savings,High
2242,53,M,Uganda,Primary,Farmer,Married,687051,4740,Business,526216,63878,50359,0.09,152066,4561,0.01,1594215,303084,159,630239,792875,134,34079,Food,1804864,219355,1231809,153584,1356403,Savings,778121,36440.24,58,91,Medium,34,Emergency Fund,42.0,Not Ready,Not Ready,Low,794011,23.6,Reduce Spending,Decline,Stocks,High
2243,44,F,Uganda,Secondary,Civil Servant,Single,534748,226985,Salary,582261,65783,586549,0.09,2004224,60126,0.08,952287,295896,49,55799,67937,272,45297,Manufacturing,2839933,375536,1707049,762436,1463032,Treasury Bills,174191,8308.11,29,77,Low,74,Emergency Fund,37.3,Not Ready,Not Ready,Low,765894,12.7,Reduce Spending,Decline,Treasury Bills,High
2244,23,M,Rwanda,Secondary,Civil Servant,Married,93673,204475,Salary,107769,98057,586427,0.33,1934873,58046,0.19,17218,197879,47,487010,533508,288,36029,ICT,989384,74755,504408,1141606,441831,Crypto,1677417,18436.1,74,44,Low,75,Emergency Fund,44.7,Not Ready,Not Ready,Low,1242640,-3.2,Healthy,Decline,Mutual Fund,High
2245,47,F,Zambia,Bachelor,Teacher,Married,1196036,276808,Salary,948614,352515,276287,0.24,2667131,80013,0.05,143792,215424,152,140794,831572,124,44189,Food,2528919,756087,130233,1084944,1576387,Crypto,1936079,65020.33,44,81,Medium,62,Retirement,46.8,Not Ready,Not Ready,Low,4432106,19.8,Healthy,Decline,Stocks,High
2246,56,F,South Africa,Postgraduate,Engineer,Single,990317,236821,Business,853599,227070,350509,0.19,829126,24873,0.02,349163,429205,52,427360,950986,233,48996,ICT,926044,312855,112888,2765126,458826,Savings,1398109,-27520.48,51,70,High,96,Home,51.4,Not Ready,Not Ready,Low,3512627,0.7,Healthy,Review,Savings,Medium
2247,22,M,Kenya,Primary,Civil Servant,Married,228454,31500,Salary,174500,36148,516393,0.14,2587195,77615,0.3,793897,75402,115,648483,703687,144,37798,Agriculture,2489561,597780,1541161,591785,2121173,Mutual Fund,2608452,53659.75,28,71,High,58,Business Expansion,34.5,Not Ready,Not Ready,Medium,562043,17.6,Healthy,Decline,Savings,High
2248,56,M,Uganda,Bachelor,Farmer,Married,1342680,202335,Mixed,1364439,164511,729176,0.11,947411,28422,0.02,526835,456906,164,211670,404864,283,18056,ICT,4516076,772978,284066,717949,2863766,Treasury Bills,2286801,59124.37,66,95,High,83,Emergency Fund,53.3,Not Ready,Not Ready,Low,2415361,0.2,Reduce Spending,Review,Savings,Medium
2249,27,M,Kenya,Diploma,Civil Servant,Married,1431093,248545,Business,896635,350489,905251,0.21,2966757,89002,0.05,7393,25107,117,557105,662598,97,13642,Manufacturing,3094541,185793,1321413,1953763,2260592,Mutual Fund,908192,37255.69,21,44,Low,62,Education,28.2,Not Ready,Not Ready,Low,4061802,24.7,Healthy,Decline,Treasury Bills,High
2250,43,F,Uganda,Secondary,Farmer,Married,929150,24714,Salary,588604,297822,436976,0.31,816289,24488,0.03,699959,186360,76,719377,365398,208,27093,Manufacturing,3042227,421879,847406,1526535,1364222,Crypto,1794651,8745.46,46,81,Medium,25,Emergency Fund,40.2,Not Ready,Not Ready,Low,3304199,19.9,Healthy,Decline,Savings,High
2251,30,F,Ghana,Secondary,Engineer,Married,1076116,18106,Mixed,535998,366954,212212,0.34,1249391,37481,0.03,1217967,54602,155,758357,709107,99,1671,Retail,2600712,809617,248393,1663440,1773041,Stocks,2590403,118624.1,64,67,High,42,Retirement,48.3,Not Ready,Not Ready,Low,5485787,19.4,Healthy,Decline,Savings,High
2252,21,M,Ghana,Diploma,Nurse,Single,679908,159472,Salary,408212,164900,185275,0.2,2957390,88721,0.11,148122,494763,20,702128,134468,189,11418,Services,3708149,205821,30432,2054607,2267987,Savings,1039509,49862.62,61,75,Medium,25,Business Expansion,37.9,Not Ready,Not Ready,Low,2224478,-4.3,Healthy,Decline,Savings,High
2253,60,M,Nigeria,Primary,Trader,Married,914441,110779,Business,741444,98210,183326,0.1,1562915,46887,0.05,1660197,111303,68,312831,330705,12,49617,Retail,296911,82253,1416377,481605,169868,Crypto,367005,328.95,61,83,High,38,Home,44.5,Not Ready,Not Ready,Low,1317387,10.3,Reduce Spending,Decline,Crypto,High
2254,28,M,Tanzania,Postgraduate,Engineer,Single,1387451,90866,Salary,1185248,155037,23824,0.1,764111,22923,0.02,1008105,313764,30,850200,405396,104,37040,Agriculture,985212,233561,198720,297712,817069,Mutual Fund,1036514,-8967.29,82,33,High,29,Home,38.1,Not Ready,Not Ready,Low,1831011,16.7,Reduce Spending,Decline,Stocks,High
2255,37,M,Kenya,Secondary,Nurse,Married,1199231,235168,Business,1037926,131054,469031,0.09,2259315,67779,0.05,1160924,118420,39,871548,334558,159,39232,Food,1020284,74259,409091,2356236,640328,Savings,2552134,74749.17,24,54,High,68,Emergency Fund,29.8,Not Ready,Not Ready,Low,1565566,0.0,Reduce Spending,Decline,Crypto,High
2256,25,M,Uganda,Diploma,Engineer,Married,189726,152572,Business,159364,94274,527179,0.28,798231,23946,0.07,1398565,356512,86,725891,782861,170,8398,Agriculture,4500948,788901,701392,1919560,3075280,Stocks,123882,9780.73,83,45,High,73,Education,49.0,Not Ready,Not Ready,Low,1315201,2.8,Healthy,Decline,Savings,High
2257,45,M,Ghana,Diploma,Engineer,Married,794954,155535,Salary,626866,204360,875931,0.22,1453899,43616,0.05,220300,294382,66,410845,868000,289,15529,Manufacturing,458389,147269,1091114,1828983,210904,Crypto,707143,-1833.42,33,50,Low,40,Retirement,34.5,Not Ready,Not Ready,Low,2756325,1.3,Healthy,Decline,Crypto,High
2258,45,M,South Africa,Bachelor,Engineer,Married,575996,63555,Mixed,267047,119062,765876,0.19,516809,15504,0.02,28219,275657,68,751789,333282,203,6043,Manufacturing,2336096,235985,1082317,1177287,1520719,Stocks,63651,732.47,88,85,Low,92,Education,58.3,Not Ready,Not Ready,Low,1497980,15.8,Healthy,Review,Stocks,Medium
2259,51,F,Kenya,Secondary,Nurse,Single,422067,31560,Business,289098,54719,641558,0.12,1723814,51714,0.11,568301,430006,157,983352,826021,84,8351,Services,4362730,1275735,177698,1488286,1919695,Mutual Fund,160445,1078.86,71,55,Medium,93,Education,49.9,Not Ready,Not Ready,Low,676085,16.4,Healthy,Decline,Crypto,High
2260,41,F,Rwanda,Primary,Nurse,Married,1013643,265491,Mixed,722904,496680,989812,0.39,880122,26403,0.02,243936,459205,143,914466,889582,11,44201,Retail,2858735,746322,369829,649985,2484770,Treasury Bills,138364,-173.75,84,77,Low,25,Education,52.9,Not Ready,Not Ready,Low,7430548,16.8,Healthy,Review,Crypto,Medium
2261,25,M,Zambia,Primary,Entrepreneur,Single,1036697,92527,Salary,495954,589413,638785,0.52,2192927,65787,0.06,767207,125777,190,648958,899763,122,46059,Services,2343588,808511,276367,10820,2009321,Mutual Fund,1215124,59418.12,30,53,Low,21,Emergency Fund,38.0,Not Ready,Not Ready,Low,8240461,22.7,Healthy,Decline,Treasury Bills,High
2262,59,M,Uganda,Postgraduate,Engineer,Single,574421,218711,Mixed,339278,421014,929,0.53,236751,7102,0.01,1032587,24466,27,997672,778193,138,20806,Agriculture,3389931,1162895,244758,795538,2813324,Crypto,2698047,74366.37,37,73,Low,73,Education,52.2,Not Ready,Not Ready,Low,4810656,-1.8,Healthy,Review,Treasury Bills,Medium
2263,33,F,Uganda,Diploma,Civil Servant,Single,618804,198710,Salary,468071,321910,137560,0.39,2983331,89499,0.11,656847,193487,14,789172,397949,90,41659,Manufacturing,3879958,309434,1504018,729752,2269025,Mutual Fund,1944681,-20521.29,22,65,Medium,85,Education,39.6,Not Ready,Not Ready,Low,3647974,14.9,Healthy,Decline,Mutual Fund,High
2264,23,F,Nigeria,Secondary,Engineer,Single,284018,204295,Salary,306461,69407,891642,0.14,2036745,61102,0.13,1775234,226429,161,440088,105594,14,34403,Food,1491791,256956,863323,1650211,829309,Treasury Bills,57911,1773.18,87,94,High,25,Education,49.3,Not Ready,Not Ready,Low,885044,6.2,Healthy,Decline,Mutual Fund,High
2265,47,M,Tanzania,Bachelor,Engineer,Single,1289477,50408,Salary,1187563,81857,499026,0.06,187491,5624,0.0,1124977,160363,133,736945,829713,188,18880,Food,2492416,789191,1750497,1624147,2184704,Crypto,2041909,122973.98,76,54,Low,49,Retirement,44.7,Not Ready,Not Ready,Low,986226,16.3,Reduce Spending,Decline,Stocks,High
2266,30,M,Kenya,Diploma,Nurse,Single,1107349,84328,Business,603495,317570,583671,0.27,857691,25730,0.02,1202894,11553,85,360248,438013,135,16114,Manufacturing,1277971,211754,431399,2956757,949370,Crypto,696446,31828.82,97,84,Low,62,Retirement,58.8,Not Ready,Not Ready,Low,4278051,11.2,Healthy,Review,Stocks,Medium
2267,60,F,Uganda,Postgraduate,Entrepreneur,Married,774875,226038,Mixed,441045,470815,899804,0.47,2498662,74959,0.07,1318537,102658,85,799574,435402,157,1458,Retail,3969120,1099948,1924218,1481893,1641914,Savings,2354437,141517.84,95,49,Low,44,Emergency Fund,54.4,Not Ready,Not Ready,Low,5232507,-0.1,Healthy,Review,Stocks,Medium
2268,42,F,Tanzania,Primary,Engineer,Single,640123,93285,Business,314136,149846,160146,0.2,2996282,89888,0.12,531940,405819,25,768922,72235,258,27971,Manufacturing,2512145,719218,27404,1468483,1464470,Savings,322627,3012.94,97,32,Medium,54,Home,47.4,Not Ready,Not Ready,Low,2248409,20.1,Healthy,Decline,Savings,High
2269,53,F,Tanzania,Diploma,Civil Servant,Single,1055164,108829,Mixed,690242,184205,46802,0.16,1229493,36884,0.03,1219187,72342,197,90581,79439,89,12429,Agriculture,3956032,528596,1524844,2684599,1923605,Stocks,2625617,25929.12,89,22,High,53,Home,40.1,Not Ready,Not Ready,Low,2663883,6.9,Healthy,Decline,Mutual Fund,High
2270,59,F,South Africa,Diploma,Entrepreneur,Single,1024572,58113,Business,631558,299016,980357,0.28,132484,3974,0.0,1790896,103324,188,645948,669837,16,48031,Manufacturing,1289201,125438,1095405,2603239,881483,Mutual Fund,76145,2240.88,27,43,Low,75,Education,34.1,Not Ready,Not Ready,Low,4659541,19.7,Healthy,Decline,Treasury Bills,High
2271,51,F,Rwanda,Bachelor,Trader,Married,1088491,177798,Mixed,973992,290830,419017,0.23,580938,17428,0.01,1506816,173434,125,493432,375849,120,15180,Retail,975036,322177,1067783,1301741,568671,Crypto,1647265,90975.1,80,23,High,92,Business Expansion,49.5,Not Ready,Not Ready,Low,3164830,1.0,Reduce Spending,Decline,Crypto,High
2272,26,M,Rwanda,Bachelor,Farmer,Single,483980,164745,Mixed,287340,289608,711419,0.45,2961508,88845,0.14,870025,173639,61,48181,567234,29,14894,Retail,3489179,379333,465399,2494665,2839026,Treasury Bills,1526196,104636.76,68,98,Low,49,Retirement,53.7,Not Ready,Not Ready,Low,4207072,22.4,Healthy,Review,Mutual Fund,Medium
2273,22,F,South Africa,Secondary,Civil Servant,Married,831930,96638,Mixed,410506,459931,451195,0.5,2199695,65990,0.07,556811,243611,29,874859,187605,122,42706,Retail,593864,129416,545389,275478,287240,Savings,25378,-400.14,46,69,Medium,30,Home,43.4,Not Ready,Not Ready,Low,5229032,10.1,Healthy,Decline,Treasury Bills,High
2274,46,F,Uganda,Secondary,Trader,Married,615141,70294,Business,537020,104815,341950,0.15,2061827,61854,0.09,290282,22706,118,328012,295048,247,5302,Services,365428,66327,1467096,2264243,324831,Mutual Fund,2197535,157386.9,33,47,Low,42,Retirement,29.7,Not Ready,Not Ready,Low,1137835,22.4,Reduce Spending,Decline,Treasury Bills,High
2275,34,M,Uganda,Primary,Teacher,Married,149514,208837,Business,178705,177130,461958,0.49,307717,9231,0.03,1645848,162917,51,398916,609414,197,40181,ICT,4367012,429230,1789037,1491584,2335019,Mutual Fund,1992943,16026.52,68,91,High,88,Retirement,60.0,Not Ready,Not Ready,Low,1949944,-4.1,Healthy,Review,Mutual Fund,Medium
2276,38,M,Zambia,Secondary,Teacher,Single,1411254,84560,Business,571328,503802,891914,0.34,1951568,58547,0.04,122358,360456,195,130197,648985,169,8586,Services,1371427,124054,977077,2252991,696592,Savings,218133,-777.45,73,57,Low,45,Business Expansion,44.5,Not Ready,Not Ready,Low,6918025,-4.6,Healthy,Decline,Mutual Fund,High
2277,45,F,Uganda,Primary,Trader,Single,457703,276708,Business,621789,82266,429024,0.11,1712693,51380,0.07,683662,244153,148,250301,228071,174,23087,Services,1557032,468641,342641,1822183,1179425,Treasury Bills,1485394,17042.65,77,48,Medium,64,Business Expansion,46.0,Not Ready,Not Ready,Low,1030643,17.2,Reduce Spending,Decline,Stocks,High
2278,34,M,Kenya,Diploma,Teacher,Single,383676,139551,Business,419732,47585,18247,0.09,2540343,76210,0.15,771641,443563,109,74074,247559,174,2410,Services,3911466,263659,1517927,243332,3032742,Stocks,1536568,6155.12,98,76,High,97,Business Expansion,55.9,Not Ready,Not Ready,Low,609163,2.4,Reduce Spending,Review,Stocks,Medium
2279,38,F,Uganda,Secondary,Entrepreneur,Single,986111,33297,Salary,784732,156014,12242,0.15,337258,10117,0.01,1114359,438603,71,286823,877818,151,5299,Manufacturing,1350225,138428,991967,2417290,1084037,Treasury Bills,47680,556.86,87,29,Medium,82,Retirement,44.9,Not Ready,Not Ready,Low,2314511,12.4,Reduce Spending,Decline,Mutual Fund,High
2280,26,M,Ghana,Secondary,Trader,Married,357422,167153,Salary,290483,191574,921246,0.37,528809,15864,0.03,709243,271792,174,655069,85072,289,21163,Services,778982,237233,1040592,1538705,367694,Crypto,777004,-3423.97,70,50,High,60,Business Expansion,49.6,Not Ready,Not Ready,Low,2874364,-2.8,Healthy,Decline,Crypto,High
2281,21,M,South Africa,Secondary,Entrepreneur,Single,1151841,84324,Business,578761,363771,857031,0.29,2055844,61675,0.05,1099733,86938,200,448124,870053,258,38656,Agriculture,4415046,832784,741502,2585673,2561034,Treasury Bills,2099887,107835.77,51,62,Low,77,Business Expansion,45.9,Not Ready,Not Ready,Low,5258863,1.9,Healthy,Decline,Mutual Fund,High
2282,29,M,Zambia,Diploma,Teacher,Married,817960,40846,Salary,691519,136186,802837,0.16,2441522,73245,0.09,1496992,68077,23,376959,260367,253,15108,ICT,1818463,550759,1784479,2048330,1570623,Mutual Fund,204578,15849.92,34,64,Medium,91,Retirement,43.3,Not Ready,Not Ready,Low,1522200,21.1,Reduce Spending,Decline,Savings,High
2283,21,F,Kenya,Bachelor,Teacher,Single,547478,157183,Business,451300,122674,149707,0.17,1843966,55318,0.08,216293,71569,112,212130,406019,48,15792,Retail,3607465,763983,985994,680275,3334989,Crypto,1480165,98867.74,90,73,Medium,42,Business Expansion,50.3,Not Ready,Not Ready,Low,1328426,22.9,Healthy,Review,Treasury Bills,Medium
2284,20,F,Ghana,Secondary,Entrepreneur,Single,150298,27595,Salary,81765,55693,193631,0.31,360836,10825,0.06,1056083,291222,68,242406,984335,76,33370,Agriculture,2066282,570344,1261395,1547714,945479,Savings,1783615,-4549.11,83,24,High,83,Education,49.2,Not Ready,Not Ready,Low,681125,11.6,Healthy,Decline,Mutual Fund,High
2285,45,F,Kenya,Diploma,Entrepreneur,Single,750666,114088,Salary,416551,367371,469610,0.42,744688,22340,0.03,143181,414704,74,22899,571371,153,22849,Manufacturing,1413352,92714,1065877,2889974,691297,Crypto,362694,10748.89,31,54,Low,100,Home,43.1,Not Ready,Not Ready,Low,4586000,21.2,Healthy,Decline,Stocks,High
2286,51,M,Tanzania,Secondary,Entrepreneur,Single,926074,161779,Mixed,903921,169972,446954,0.16,2550577,76517,0.07,1983878,109286,32,171788,847119,11,25026,Manufacturing,1061098,162581,548433,2453073,920989,Stocks,1820313,38365.08,61,72,Low,53,Retirement,43.1,Not Ready,Not Ready,Low,2515348,7.3,Reduce Spending,Decline,Stocks,High
